# SPAWNER DATA FOR 2025 SOCKEYE INTERNATIONAL,,,,,,,,,,,,,,
# Note: These values were extracted as-is from source files provided by the agencies.,,,,,,,,,,,,,,
# The values are consistent within each system but variable definitions differ between agencies,,,,,,,,,,,,,,
# Columbia Aggregate (Bonneville Lock & Dam) : Count of returning adults at Bonneville,,,,,,,,,,,,,,
# Fraser Stocks (Chilko / Late Stuart / Quesnel / Raft / Stellako): total brood year spawners ,,,,,,,,,,,,,,
# Bristol Bay Stocks (Rest): total brood year escapement,,,,,,,,,,,,,,
BroodYear,Bonneville Lock & Dam,Chilko,Late Stuart,Quesnel,Raft,Stellako,Igushik,Wood,Nushagak,Kvichak,Alagnak,Naknek,Egegik,Ugashik
1948,NA,671025,1049,100,10359,16213,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,58310,107752,30664,6113,104835,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,26447,5843,398,6404,145108,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,118110,4402,49,8561,96208,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,490065,1975,7017,15617,40466,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,201245,369023,110927,7909,43688,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,37743,5470,299,9995,141882,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,132146,7618,63,5081,51746,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,647768,1454,2669,9037,38459,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,140765,531130,223667,6881,38921,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,137081,23638,1863,10215,112273,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,471162,8225,76,10210,79355,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,426607,2961,3057,5553,38884,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,40315,411105,302563,7301,47241,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,92467,18689,1078,7613,124495,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,1002252,3237,86,8724,138805,92184,721404,234820.8018,338760,203304,905358,997602,388254
1964,NA,238601,1900,15839,5201,31047,128532,1076112,134852.6266,957120,248700,1349604,849576,472770
1965,NA,39902,214958,364714,6624,39418,180840,675156,255793.5021,24325926,175020,717798,1444608,996612
1966,NA,226702,9032,1753,6250,101684,206360,1208682,233577.6147,3755185,174336,1016445,804246,704436
1967,NA,176337,1642,119,1303,91525,281772,515772,74002.81765,3216208,202626,755640,636864,238830
1968,NA,414446,470,5763,8121,30420,194508,649344,142360.4153,2557440,193872,1023222,338654,70896
1969,NA,76518,207057,273134,5593,49341,512328,604338,95805.0467,8394204,182490,1331202,1015554,160380
1970,NA,145049,15055,1373,4474,45876,370920,1161964,452891.7581,13935306,177060,732502,919734,735024
1971,NA,186589,1535,171,840,39726,210960,851202,312699.1781,2387392,187302,935754,634014,529752
1972,NA,564465,8704,3488,11151,36771,60018,430602,39850.56376,1009962,151188,586518,546402,79428
1973,NA,61707,214343,278061,2729,30755,59508,330474,210600.7728,226554,35280,356676,328842,38988
1974,NA,142595,14627,4459,2396,41473,358752,1708836,204190.1742,4433844,214848,1241058,1275630,61854
1975,NA,275698,14229,201,2664,176079,241086,1270116,832092.6013,13140450,100480,2026686,1173840,429336
1976,NA,387467,3000,2197,8684,150741,186120,817008,520302.5868,1965282,81822,1320750,509160,356308
1977,NA,56782,146629,516223,648,23452,95970,561828,611588.3606,1341144,108910.5,1085856,692514,201520
1978,NA,159174,13027,8614,2500,60421,536154,2267238,734040.0845,4149288,584970,813378,895698,82435
1979,NA,272694,31918,511,1780,290116,859560,1706352,551271.6622,11218434,750210,925362,1032042,1706904
1980,NA,498826,979,3176,5418,72073,1987530,2969040,3669136.414,22505268,759645,2644698,1060860,3335284
1981,NA,36149,249699,748652,873,22021,591144,1233318,1118872.875,1754358,209635.5,1796220,694680,1327699
1982,NA,253551,16758,39841,2992,69434,423768,976470,664579.7666,1134840,610215,1155552,1034628,1185551
1983,NA,386571,2246,2155,2857,121739,180438,1360968,446845.0461,3569982,245361,888294,792282,1001364
1984,NA,580664,1228,6186,19098,60973,184872,1002792,655739.2017,10490670,549193.5,1242474,1165345,1270318
1985,166340,88120,274642,1349263,3638,42296,212454,939000,551319.2218,7211046,300976.5,1849938,1095192,1006407
1986,58123,323971,28715,181473,2126,77378,307728,818652,1095241.259,1179322,586959,1977645,1.15E+06,1015582
1987,116993,430492,6524,20559,1512,211111,169236,1337172,429181.6128,6065880,393235.5,1061806,1.27E+06,686894
1988,79714,365790,11459,27034,19857,367751,170454,866778,534459.8784,4065216,496306.5,1037862,1.61E+06,654412
1989,41884,78647,575791,1870685,1647,43189,4.62E+05,1186410,567863.3443,8317500,501738,1161984,1.61E+06,1713287
1990,49581,833313,190060,487651,630,93928,3.66E+05,1069440,752513.138,6970020,430338,2092578,2.19E+06,749478
1991,76481,1039624,77322,46259,464,94931,7.56E+05,1159920,544748.2476,4222788,707851.95,3578508,2786925,2482016
1992,84992,515663,23892,8901,8242,97985,304920,1286250,768816.1441,4725864,577939.65,1606650,1945632,2194927
1993,80178,561865,1805142,2620757,5047,9.14E+04,4.06E+05,1.18E+06,790926.9579,4025166,887336.25,1535658,1.52E+06,1413454
1994,12678,452239,76715,659505,1712,136847,445920,1.47E+06,563334.117,8355936,618464.25,990810,1.90E+06,1095068
1995,8774,547755,34362,216110,1046,122780,4.73E+05,1482162,311136.3458,10038720,550068.15,1111140,1266692,1321108
1996,30232,989422,65898,42499,46615,332207,4.01E+05,1649598,557057.3491,1.45E+06,782212.5,1078098,1076460,692167
1997,47008,993254,907652,1858809,6093,55410,127704,1512396,412591.0367,1.50E+06,556193.25,1025664,1104004,656641
1998,13218,880944,139421,1179252,7229,185697,215904,1755768,507532.2674,2296074,643110,1202172,1110938,924853
1999,17877,891922,62120,189360,6979,138151,4.46E+05,1512426,344972.2727,6196914,1182180,1625364,1.73E+06,1662042
2000,93398,759163,454478,63782,66292,3.72E+05,4.13E+05,1300026,446286.4967,1827780,1.15E+06,1375488,1032138,638420
2001,114934,669920,351881,3510976,32506,1.51E+05,409596,1458732,897112.175,1095348,680850,1.83E+06,968872,866368
2002,49610,385042,34521,2985212,18461,322711,123156,1283682,349155.3099,703884,7.67E+05,1263918,1036092,905584
2003,39291,612239,38474,278990,10093,7.81E+04,194088,1459782,642092.8998,1.69E+06,3676146,1831170,1.15E+06,790202
2004,123291,92143,83447,10264,5611,86738,109650,1543392,543872.2652,5500134,5.40E+06,1939674,1.29E+06,815104
2005,72971,540481,293144,1436789,26501,175346,3.66E+05,1496550,1106703,2320332,4218990,2744622,1621734,799612
2006,37066,469504,27515,169127,6073,147194,305268,4.01E+06,548410,3068226,1773966,1953228,1465158,1003158
2007,24376,306707,8707,74715,14357,41481,415452,1528086,518041,2810208,2.47E+06,2945304,1.43E+06,2599186
2008,213607,250583,146658,7091,10406,159749,1.05E+06,1724676,492546,2757912,2180502,2472690,1.26E+06,596332
2009,177823,217778,87001,149467,11464,27627,514188,1.32E+06,484149,2.27E+06,9.71E+05,1169466,1.15E+06,1364338
2010,386525,2462975,75289,246584,5119,202803,518040,1.80E+06,468696,4207410,1.19E+06,1463928,9.27E+05,830886
2011,185796,919254,4053,45433,9243,85628,421380,1098006,428191,2.26E+06,883794,1177074,961200,1029853
2012,515673,246605,93159,624,1.00E+04,1.38E+05,193326,764211,432438,4164444,861747,900312,1.23E+06,670578
2013,185505,1235222,132603,179081,16394,1.10E+05,3.87E+05,1183348,894148,2.09E+06,1.10E+06,938160,1.11E+06,898110
2014,614179,1034250,50691,832344,17102,5.06E+05,3.41E+05,2.76E+06,618477,4.46E+06,1.89E+05,1474428,1.38E+06,640158
2015,510706,662707,11124,45357,16054,1.01E+05,6.51E+05,1941474,796684,7348572,5.45E+06,1920954,2160792,1564638
2016,342498,155687,10066,1081,8150,3.03E+04,4.69E+05,1309707,680512,4462728,1677769,1691910,1837260,1635270
2017,87693,372212,147470,114581,4518,91391,578700,4274224,2852308,3163404,2.04E+06,1899972,2600982,1186446
2018,193816,619623,112189,817811,3544,1.77E+05,7.71E+05,7.51E+06,1247460,4398708,1581426,2221152,1608354,1167792
2019,63046,169877,5861,21632,619,4.61E+04,256074,2073276,709431,2371242,8.20E+05,2911470,2.34E+06,1547748
2020,341739,55490,4762,819,5099,44411,323814,2243886,1228059,4.03E+06,2386518,4112160,2389728,1745940
2021,151765,917861,380107,101878,3325,117709,878952,4410156,4697299,4703520,3.24E+06,2796534,1832196,2859930
2022,663253,881315,87947,827355,3868,125931,378768,3747612,3455272,4224882,1668222,1921296,1786152,1436784
2023,327600,NA,NA,NA,NA,NA,542496,2648616,1772676,3751686,1099050,1156206,1562700,1128896
2024,755909,NA,NA,NA,NA,NA,692616,4404654,1708693,6644490,2356560,926112,1114008,1759776
